Category:2009_flu_pandemic_by_country	Category:Health	2009_flu_pandemic_by_country
Category:Aboriginal_title	Category:Common_law Category:Law	Aboriginal_title
Category:Abortion_by_country	Category:Society	Abortion_law
Category:Abortion_debate	Category:Politics	Abortion_debate
Category:Abuse_of_the_legal_system	Category:Law Category:Practice_of_law Category:Sociology_of_law	Legal_abuse
Category:Academic_administration	Category:Education	Academic_administration
Category:Academic_administrators	Category:Education	Academic_administration
Category:Academic_degrees	Category:Education	Academic_degree
Category:Academic_disciplines	Category:Education	List_of_academic_disciplines
Category:Academic_dress	Category:Education	Academic_dress
Category:Academic_libraries	Category:Education	Academic_library
Category:Academic_publishing	Category:Education	Academic_publishing
Category:Accessibility	Category:Disability	Accessibility
Category:Accidents	Category:History	Accident
Category:Accountancy	Category:Business Category:Finance	Accountancy
Category:Accountants	Category:Accountancy	Accountant
Category:Accounting_scholarship	Category:Accountancy	Accounting_scholarship
Category:Accounting_software	Category:Accountancy	Accounting_software
Category:Accounting_systems	Category:Accountancy	Accounting_software
Category:Ace_Attorney	Category:Law	Ace_Attorney
Category:Acting	Category:Drama Category:Performing_arts	Acting
Category:Action_T4	Category:Disability	Action_T4
Category:Activism	Category:Social_change Category:Society	Activism
Category:Activists	Category:Politics	Activism
Category:Actor-network_theory	Category:Science_and_technology_studies	Actor-network_theory
Category:Actuarial_science	Category:Business	Actuarial_science
Category:Administrative_law	Category:Law	Administrative_law
Category:Adoption	Category:Family	Adoption
Category:Adult_education	Category:Education	Adult_education
Category:Advanced_Placement	Category:Educational_programs	Advanced_Placement
Category:Adventure	Category:Entertainment	Adventure
Category:Advertisements	Category:Business Category:Creative_works	Advertising
Category:Advertising	Category:Business	Advertising
Category:Advocacy_groups	Category:Political_activism Category:Political_organizations	Advocacy_group
Category:Aesthetics	Category:Arts	Aesthetics
Category:African_American_studies	Category:Ethnic_studies	African_American_studies
Category:African_studies	Category:Area_studies	African_studies
Category:Agency_law	Category:Business_law Category:Law	Law_of_agency
Category:Aging-associated_diseases	Category:Health	Aging-associated_diseases
Category:Agrarianism	Category:Agriculture	Agrarianism
Category:Agricultural_chemicals	Category:Agriculture Category:Industrial_agriculture	Agrochemical
Category:Agricultural_cooperatives	Category:Agrarianism Category:Agriculture	Agricultural_cooperative
Category:Agricultural_economics	Category:Agriculture Category:Economics	Agricultural_economics
Category:Agricultural_education	Category:Agriculture Category:Education Category:Vocational_education	Agricultural_education
Category:Agricultural_engineers	Category:Agriculture Category:Industrial_agriculture	Agricultural_engineering
Category:Agriculturalists	Category:Agriculture	Farmer
Category:Agricultural_land	Category:Agriculture	Agricultural_land
Category:Agricultural_law	Category:Agriculture Category:Law	Agricultural_law
Category:Agricultural_production	Category:Agriculture	Primary_sector_of_the_economy
Category:Agricultural_shows	Category:Agriculture	Agricultural_show
Category:Agricultural_universities_and_colleges	Category:Agriculture	List_of_agricultural_universities_and_colleges
Category:Agriculture	\N	Agriculture
Category:Agriculture_in_Algeria	Category:Agriculture	Agriculture_in_Algeria
Category:Agriculture_in_Angola	Category:Agriculture	Agriculture_in_Angola
Category:Agriculture_in_Argentina	Category:Agriculture	Agriculture_in_Argentina
Category:Agriculture_in_Armenia	Category:Agriculture	Agriculture_in_Armenia
Category:Agriculture_in_Australia	Category:Agriculture	Agriculture_in_Australia
Category:Agriculture_in_Austria	Category:Agriculture	Agriculture_in_Austria
Category:Agriculture_in_Azerbaijan	Category:Agriculture	Agriculture_in_Azerbaijan
Category:Agriculture_in_Bahrain	Category:Agriculture	Agriculture_in_Bahrain
Category:Agriculture_in_Bangladesh	Category:Agriculture	Agriculture_in_Bangladesh
Category:Agriculture_in_Belarus	Category:Agriculture	Agriculture_in_Belarus
Category:Agriculture_in_Bhutan	Category:Agriculture	Agriculture_in_Bhutan
Category:Agriculture_in_Bolivia	Category:Agriculture	Agriculture_in_Bolivia
Category:Agriculture_in_Brazil	Category:Agriculture	Agriculture_in_Brazil
Category:Agriculture_in_Bulgaria	Category:Agriculture	Agriculture_in_Bulgaria
Category:Agriculture_in_Burkina_Faso	Category:Agriculture	Agriculture_in_Burkina_Faso
Category:Agriculture_in_Burma	Category:Agriculture	Agriculture_in_Burma
Category:Agriculture_in_Burundi	Category:Agriculture	Agriculture_in_Burundi
Category:Agriculture_in_Cambodia	Category:Agriculture	Agriculture_in_Cambodia
Category:Agriculture_in_Canada	Category:Agriculture	Agriculture_in_Canada
Category:Agriculture_in_Chad	Category:Agriculture	Agriculture_in_Chad
Category:Agriculture_in_Chile	Category:Agriculture	Agriculture_in_Chile
Category:Agriculture_in_Colombia	Category:Agriculture	Agriculture_in_Colombia
Category:Agriculture_in_Cuba	Category:Agriculture	Agriculture_in_Cuba
Category:Agriculture_in_Equatorial_Guinea	Category:Agriculture	Agriculture_in_Equatorial_Guinea
Category:Agriculture_in_Eritrea	Category:Agriculture	Agriculture_in_Eritrea
Category:Agriculture_in_Estonia	Category:Agriculture	Agriculture_in_Estonia
Category:Agriculture_in_Ethiopia	Category:Agriculture	Agriculture_in_Ethiopia
Category:Agriculture_in_Gabon	Category:Agriculture	Agriculture_in_Gabon
Category:Agriculture_in_Georgia_%28country%29	Category:Agriculture	Agriculture_in_Georgia_%28country%29
Category:Agriculture_in_Ghana	Category:Agriculture	Agriculture_in_Ghana
Category:Agriculture_in_Guinea	Category:Agriculture	Agriculture_in_Guinea
Category:Agriculture_in_Guyana	Category:Agriculture	Agriculture_in_Guyana
Category:Agriculture_in_Haiti	Category:Agriculture	Agriculture_in_Haiti
Category:Agriculture_in_Iceland	Category:Agriculture	Agriculture_in_Iceland
Category:Agriculture_in_India	Category:Agriculture	Agriculture_in_India
Category:Agriculture_in_Iran	Category:Agriculture	Agriculture_in_Iran
Category:Agriculture_in_Israel	Category:Agriculture	Agriculture_in_Israel
Category:Agriculture_in_Japan	Category:Agriculture	Agriculture,_forestry,_and_fishing_in_Japan
Category:Agriculture_in_Kazakhstan	Category:Agriculture	Agriculture_in_Kazakhstan
Category:Agriculture_in_Kenya	Category:Agriculture	Agriculture_in_Kenya
Category:Agriculture_in_Kyrgyzstan	Category:Agriculture	Agriculture_in_Kyrgyzstan
Category:Agriculture_in_Laos	Category:Agriculture	Agriculture_in_Laos
Category:Agriculture_in_Latvia	Category:Agriculture	Agriculture_in_Latvia
Category:Agriculture_in_Lebanon	Category:Agriculture	Agriculture_in_Lebanon
Category:Agriculture_in_Libya	Category:Agriculture	Agriculture_in_Libya
Category:Agriculture_in_Malaysia	Category:Agriculture	Agriculture_in_Malaysia
Category:Agriculture_in_Mauritania	Category:Agriculture	Agriculture_in_Mauritania
Category:Agriculture_in_Mesoamerica	Category:Agriculture	Agriculture_in_Mesoamerica
Category:Agriculture_in_Mongolia	Category:Agriculture	Agriculture_in_Mongolia
Category:Agriculture_in_Mozambique	Category:Agriculture	Agriculture_in_Mozambique
Category:Agriculture_in_Namibia	Category:Agriculture	Agriculture_in_Namibia
Category:Agriculture_in_Nepal	Category:Agriculture	Agriculture_in_Nepal
Category:Agriculture_in_New_Zealand	Category:Agriculture	Agriculture_in_New_Zealand
Category:Agriculture_in_Nicaragua	Category:Agriculture	Agriculture_in_Nicaragua
Category:Agriculture_in_Niger	Category:Agriculture	Agriculture_in_Niger
Category:Agriculture_in_Nigeria	Category:Agriculture	Agriculture_in_Nigeria
Category:Agriculture_in_Oman	Category:Agriculture	Agriculture_in_Oman
Category:Agriculture_in_Pakistan	Category:Agriculture	Agriculture_in_Pakistan
Category:Agriculture_in_Panama	Category:Agriculture	Agriculture_in_Panama
Category:Agriculture_in_Paraguay	Category:Agriculture	Agriculture_in_Paraguay
Category:Agriculture_in_Peru	Category:Agriculture	Agricultural_history_of_Peru
